"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2015","526.00","531.50","534.75","520.50","131.84K","1.06%"
"07/07/2015","520.50","530.75","535.75","515.75","118.26K","-3.39%"
"07/06/2015","538.75","558.50","566.75","526.00","112.08K","-3.23%"
"07/03/2015","556.75","567.50","569.00","554.75","47.12K","-3.38%"
"07/02/2015","576.25","568.00","579.00","565.50","73.16K","0.30%"
"07/01/2015","574.50","574.25","580.50","566.25","73.19K","-0.26%"
"06/30/2015","576.00","569.00","585.50","566.00","73.15K","1.59%"
"06/29/2015","567.00","572.75","577.25","561.50","91.77K","-1.61%"
"06/26/2015","576.25","574.00","580.00","570.75","53.22K","0.66%"
"06/25/2015","572.50","579.50","583.00","571.75","70.29K","-1.93%"
"06/24/2015","583.75","592.00","594.50","575.25","89.47K","-0.38%"
"06/23/2015","586.00","575.25","592.00","574.25","80.56K","2.31%"
"06/22/2015","572.75","570.00","580.75","568.75","49.70K","-0.09%"
"06/19/2015","573.25","588.50","589.75","571.00","54.90K","-2.84%"
"06/18/2015","590.00","589.50","594.25","583.75","50.45K","0.47%"
"06/17/2015","587.25","581.25","597.50","576.25","68.18K","1.25%"
"06/16/2015","580.00","576.75","583.00","576.00","49.99K","0.30%"
"06/15/2015","578.25","581.50","584.25","574.25","55.50K","-1.62%"
"06/12/2015","587.75","592.50","592.75","583.00","43.98K","-0.25%"
"06/11/2015","589.25","598.50","601.50","588.25","89.81K","-1.01%"
"06/10/2015","595.25","593.75","602.50","591.50","132.71K","1.10%"
"06/09/2015","588.75","573.25","594.00","572.50","114.53K","2.75%"
"06/08/2015","573.00","573.25","576.75","570.25","90.80K","0.88%"
"06/05/2015","568.00","568.50","577.75","561.75","98.58K","-0.09%"
"06/04/2015","568.50","583.75","585.00","567.00","97.56K","-3.11%"
