"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2017","1.6067","1.6189","1.6288","1.6046","19.99K","-0.75%"
"01/27/2017","1.6189","1.6480","1.6490","1.5981","23.59K","-1.34%"
"01/26/2017","1.6409","1.6166","1.6525","1.6120","20.36K","1.83%"
"01/25/2017","1.6114","1.6310","1.6361","1.6018","24.99K","-1.83%"
"01/24/2017","1.6415","1.6303","1.6461","1.6262","26.06K","0.92%"
"01/23/2017","1.6265","1.6361","1.6493","1.6205","31.90K","-1.18%"
"01/20/2017","1.6459","1.6197","1.6647","1.6161","42.08K","1.71%"
"01/19/2017","1.6183","1.6199","1.6352","1.6129","45.32K","0.57%"
"01/18/2017","1.6092","1.6486","1.6588","1.6044","55.90K","-2.39%"
"01/17/2017","1.6486","1.6526","1.6957","1.6456","70.59K","-0.84%"
"01/16/2017","1.6626","1.6565","1.6648","1.6455","","0.37%"
"01/15/2017","1.6564","1.6572","1.6584","1.6546","","0.30%"
"01/13/2017","1.6514","1.6758","1.6796","1.6478","56.66K","-1.44%"
"01/12/2017","1.6756","1.6577","1.6905","1.6523","67.20K","1.40%"
"01/11/2017","1.6524","1.6106","1.6723","1.6064","75.91K","2.54%"
"01/10/2017","1.6114","1.6379","1.6506","1.6080","67.58K","-1.60%"
"01/09/2017","1.6376","1.7011","1.7031","1.6338","67.73K","-3.85%"
"01/06/2017","1.7032","1.6971","1.7146","1.6777","55.55K","0.53%"
"01/05/2017","1.6942","1.6897","1.7055","1.6702","58.59K","0.07%"
"01/04/2017","1.6930","1.6800","1.6986","1.6650","52.73K","0.97%"
"01/03/2017","1.6767","1.7313","1.7647","1.6721","70.19K","-3.07%"
"01/02/2017","1.7298","1.7290","1.7328","1.7287","","1.50%"
"12/30/2016","1.7043","1.7048","1.7137","1.6937","43.20K","0.04%"
"12/29/2016","1.7037","1.6990","1.7170","1.6965","17.81K","0.26%"
"12/28/2016","1.6993","1.7000","1.7156","1.6950","20.64K","-0.01%"
"12/27/2016","1.6994","1.6727","1.7109","1.6575","27.56K","0.91%"
"12/26/2016","1.6840","1.6833","1.6921","1.6831","","1.27%"
"12/23/2016","1.6628","1.6584","1.6765","1.6428","19.22K","0.12%"
"12/22/2016","1.6608","1.6411","1.6675","1.6244","35.98K","1.26%"
"12/21/2016","1.6401","1.6775","1.6799","1.6363","37.51K","-1.72%"
"12/20/2016","1.6688","1.6691","1.6810","1.6595","38.33K","-0.01%"
"12/19/2016","1.6690","1.6763","1.6872","1.6598","40.20K","-0.20%"
"12/16/2016","1.6723","1.6502","1.6816","1.6354","44.83K","1.85%"
"12/15/2016","1.6420","1.6387","1.6586","1.6275","47.81K","-0.09%"
"12/14/2016","1.6435","1.6603","1.6889","1.6368","55.00K","-1.86%"
"12/13/2016","1.6747","1.6705","1.6868","1.6614","60.00K","0.18%"
"12/12/2016","1.6717","1.6565","1.7106","1.6564","58.52K","2.09%"
"12/09/2016","1.6374","1.6231","1.6417","1.6197","59.77K","0.71%"
"12/08/2016","1.6259","1.6174","1.6358","1.6066","64.41K","0.46%"
"12/07/2016","1.6184","1.6381","1.6427","1.6138","71.42K","-1.19%"
"12/06/2016","1.6379","1.6467","1.6602","1.6272","64.72K","-1.16%"
"12/05/2016","1.6571","1.6561","1.6774","1.6428","70.65K","-0.06%"
"12/02/2016","1.6581","1.6454","1.6631","1.6239","62.59K","0.62%"
"12/01/2016","1.6479","1.5680","1.6634","1.5659","80.62K","4.90%"
"11/30/2016","1.5709","1.4627","1.5809","1.4600","6.16K","7.40%"
"11/29/2016","1.4627","1.5108","1.5113","1.4552","27.64K","-3.31%"
"11/28/2016","1.5128","1.4706","1.5267","1.4394","28.27K","2.91%"
"11/25/2016","1.4700","1.5184","1.5270","1.4661","13.58K","-3.61%"
"11/24/2016","1.5251","1.5204","1.5273","1.5137","","0.54%"
"11/23/2016","1.5169","1.5272","1.5482","1.5157","40.11K","-0.62%"
"11/22/2016","1.5263","1.5365","1.5569","1.5094","36.28K","0.12%"
"11/21/2016","1.5245","1.4794","1.5353","1.4631","31.97K","4.58%"
"11/18/2016","1.4577","1.4360","1.4679","1.4316","42.18K","0.74%"
"11/17/2016","1.4470","1.4303","1.4741","1.4292","51.90K","0.84%"
"11/16/2016","1.4350","1.4439","1.4545","1.4240","44.68K","-0.62%"
"11/15/2016","1.4439","1.3928","1.4529","1.3871","58.97K","4.22%"
"11/14/2016","1.3855","1.3983","1.4041","1.3737","50.89K","-1.12%"
"11/11/2016","1.4012","1.4313","1.4352","1.3874","61.16K","-2.46%"
"11/10/2016","1.4366","1.4424","1.4520","1.4212","57.13K","-0.31%"
"11/09/2016","1.4411","1.4403","1.4595","1.4043","65.79K","0.00%"
"11/08/2016","1.4411","1.4450","1.4525","1.4257","56.84K","0.03%"
"11/07/2016","1.4406","1.4444","1.4529","1.4251","53.79K","0.72%"
"11/04/2016","1.4303","1.4550","1.4630","1.4258","67.19K","-1.91%"
"11/03/2016","1.4582","1.4610","1.4772","1.4484","57.32K","-0.57%"
"11/02/2016","1.4665","1.5117","1.5170","1.4516","84.43K","-3.32%"
"11/01/2016","1.5169","1.5114","1.5791","1.5000","141.30K","1.43%"
"10/31/2016","1.4955","1.5474","1.5474","1.4888","6.85K","-3.03%"
"10/28/2016","1.5422","1.5641","1.5681","1.5323","20.04K","-1.78%"
"10/27/2016","1.5701","1.5511","1.5800","1.5502","19.21K","1.22%"
"10/26/2016","1.5511","1.5503","1.5735","1.5400","25.46K","-0.77%"
"10/25/2016","1.5631","1.5786","1.5893","1.5487","30.55K","-1.06%"
"10/24/2016","1.5798","1.5797","1.5846","1.5496","23.06K","0.37%"
"10/21/2016","1.5740","1.5625","1.5785","1.5546","30.33K","0.92%"
"10/20/2016","1.5596","1.5874","1.5874","1.5476","31.82K","-1.78%"
"10/19/2016","1.5879","1.5820","1.6077","1.5800","36.03K","1.23%"
"10/18/2016","1.5686","1.5592","1.5831","1.5514","48.67K","0.80%"
"10/17/2016","1.5561","1.5665","1.5718","1.5418","45.48K","-0.71%"
"10/14/2016","1.5673","1.5815","1.5923","1.5551","49.18K","-0.78%"
"10/13/2016","1.5796","1.5695","1.5887","1.5537","62.13K","0.82%"
"10/12/2016","1.5668","1.5914","1.5957","1.5582","57.13K","-1.29%"
"10/11/2016","1.5873","1.6028","1.6118","1.5756","63.00K","-1.42%"
"10/10/2016","1.6102","1.5772","1.6264","1.5673","54.34K","1.96%"
"10/07/2016","1.5793","1.5999","1.6058","1.5636","52.49K","-1.03%"
"10/06/2016","1.5958","1.5741","1.6016","1.5630","59.13K","0.85%"
"10/05/2016","1.5823","1.5672","1.5923","1.5650","60.73K","1.79%"
"10/04/2016","1.5544","1.5528","1.5674","1.5368","46.26K","0.08%"
"10/03/2016","1.5532","1.5357","1.5612","1.5262","50.27K","1.66%"
"09/30/2016","1.5279","1.5068","1.5323","1.4924","19.24K","1.17%"
"09/29/2016","1.5102","1.4893","1.5288","1.4752","19.24K","1.29%"
"09/28/2016","1.4910","1.4163","1.4946","1.4102","22.61K","5.75%"
"09/27/2016","1.4099","1.4376","1.4457","1.3967","28.64K","-2.70%"
"09/26/2016","1.4490","1.4113","1.4615","1.3990","22.24K","2.96%"
"09/23/2016","1.4073","1.4494","1.4691","1.4003","26.99K","-3.23%"
